secuencias,ID_Ruta,Transformed_Sequences,Total_Distance_km,Total_Duration_hr
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG808, PG809, PG848, PG887",RC011,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG884'), ('PG884', 'PG845'), ('PG845', 'PG846'), ('PG846', 'PG807'), ('PG807', 'PG808'), ('PG808', 'PG769'), ('PG769', 'PG808'), ('PG808', 'PG809'), ('PG809', 'PG848'), ('PG848', 'PG887')]",923.8019999999999,210.5622222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG922, PG883, PG1040, PG1041, PG1081, PG1082",RC012,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1082')]",1013.3,230.70861111111108
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG922, PG883, PG1040, PG1041, PG1081",RC013,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081')]",923.8019999999999,210.5622222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG922, PG883, PG1040, PG1041, PG1081, PG1120",RC014,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1120')]",973.3,221.6522222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081, PG1082",RC015,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG961'), ('PG961', 'PG999'), ('PG999', 'PG1038'), ('PG1038', 'PG1039'), ('PG1039', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1082')]",1105.433,251.32888888888886
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081",RC016,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG961'), ('PG961', 'PG999'), ('PG999', 'PG1038'), ('PG1038', 'PG1039'), ('PG1039', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081')]",1015.935,231.18249999999998
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1183, PG1184, PG1145, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081, PG1120",RC017,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1183'), ('PG1183', 'PG1184'), ('PG1184', 'PG1145'), ('PG1145', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG961'), ('PG961', 'PG999'), ('PG999', 'PG1038'), ('PG1038', 'PG1039'), ('PG1039', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1120')]",1065.433,242.27249999999998
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG770, PG771, PG732, PG693, PG694, PG655, PG656, PG617, PG578",RC021,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG884'), ('PG884', 'PG845'), ('PG845', 'PG846'), ('PG846', 'PG807'), ('PG807', 'PG808'), ('PG808', 'PG769'), ('PG769', 'PG770'), ('PG770', 'PG771'), ('PG771', 'PG732'), ('PG732', 'PG693'), ('PG693', 'PG694'), ('PG694', 'PG655'), ('PG655', 'PG656'), ('PG656', 'PG617'), ('PG617', 'PG578')]",985.673,224.0947222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG770, PG771, PG772, PG773, PG774",RC022,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG884'), ('PG884', 'PG845'), ('PG845', 'PG846'), ('PG846', 'PG807'), ('PG807', 'PG808'), ('PG808', 'PG769'), ('PG769', 'PG770'), ('PG770', 'PG771'), ('PG771', 'PG772'), ('PG772', 'PG773'), ('PG773', 'PG774')]",985.673,224.0947222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG808, PG809, PG848, PG887",RC023,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG884'), ('PG884', 'PG845'), ('PG845', 'PG846'), ('PG846', 'PG807'), ('PG807', 'PG808'), ('PG808', 'PG769'), ('PG769', 'PG808'), ('PG808', 'PG809'), ('PG809', 'PG848'), ('PG848', 'PG887')]",985.673,224.0947222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG1040, PG1041, PG1081, PG1082",RC024,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1082')]",1075.171,244.24111111111108
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG1040, PG1041, PG1081",RC025,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081')]",985.673,224.0947222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG922, PG883, PG1040, PG1041, PG1081, PG1120",RC026,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1120')]",1035.171,235.1847222222222
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081, PG1082",RC027,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG961'), ('PG961', 'PG999'), ('PG999', 'PG1038'), ('PG1038', 'PG1039'), ('PG1039', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1082')]",1167.304,264.8613888888889
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081",RC028,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG961'), ('PG961', 'PG999'), ('PG999', 'PG1038'), ('PG1038', 'PG1039'), ('PG1039', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081')]",1077.806,244.71499999999997
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG918, PG879, PG841, PG880, PG919, PG921, PG961, PG999, PG1038, PG1039, PG1040, PG1041, PG1081, PG1120",RC029,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG918'), ('PG918', 'PG879'), ('PG879', 'PG841'), ('PG841', 'PG880'), ('PG880', 'PG919'), ('PG919', 'PG921'), ('PG921', 'PG961'), ('PG961', 'PG999'), ('PG999', 'PG1038'), ('PG1038', 'PG1039'), ('PG1039', 'PG1040'), ('PG1040', 'PG1041'), ('PG1041', 'PG1081'), ('PG1081', 'PG1120')]",1127.304,255.80499999999998
"PG1529, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1260, PG1261, PG1122, PG1223, PG1224, PG1185, PG1146, PG1107, PG1108, PG1169, PG1070, PG1031, PG992, PG993, PG994, PG995, PG956, PG957, PG996, PG997, PG959, PG921, PG922, PG883, PG884, PG845, PG846, PG807, PG808, PG769, PG770, PG771, PG772, PG773, PG774",RC030,"[('PG1529', 'PG1530'), ('PG1530', 'PG1491'), ('PG1491', 'PG1492'), ('PG1492', 'PG1453'), ('PG1453', 'PG1414'), ('PG1414', 'PG1415'), ('PG1415', 'PG1376'), ('PG1376', 'PG1337'), ('PG1337', 'PG1298'), ('PG1298', 'PG1299'), ('PG1299', 'PG1260'), ('PG1260', 'PG1261'), ('PG1261', 'PG1122'), ('PG1122', 'PG1223'), ('PG1223', 'PG1224'), ('PG1224', 'PG1185'), ('PG1185', 'PG1146'), ('PG1146', 'PG1107'), ('PG1107', 'PG1108'), ('PG1108', 'PG1169'), ('PG1169', 'PG1070'), ('PG1070', 'PG1031'), ('PG1031', 'PG992'), ('PG992', 'PG993'), ('PG993', 'PG994'), ('PG994', 'PG995'), ('PG995', 'PG956'), ('PG956', 'PG957'), ('PG957', 'PG996'), ('PG996', 'PG997'), ('PG997', 'PG959'), ('PG959', 'PG921'), ('PG921', 'PG922'), ('PG922', 'PG883'), ('PG883', 'PG884'), ('PG884', 'PG845'), ('PG845', 'PG846'), ('PG846', 'PG807'), ('PG807', 'PG808'), ('PG808', 'PG769'), ('PG769', 'PG770'), ('PG770', 'PG771'), ('PG771', 'PG772'), ('PG772', 'PG773'), ('PG773', 'PG774')]",985.673,224.0947222222222
