Filtered_Secuencias,last_five_id,arc_Sequences,start_id,end_id
"PG1850, PG1811, PG1810, PG1769, PG1730, PG1690, PG1613, PG1573, PG1534, PG1495, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1233","PG1154, PG1115, PG1116, PG1155, PG1233","PG1850-PG1811, PG1811-PG1810, PG1810-PG1769, PG1769-PG1730, PG1730-PG1690, PG1690-PG1613, PG1613-PG1573, PG1573-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1233",PG1850,PG1233
"PG1850, PG1811, PG1810, PG1769, PG1730, PG1690, PG1613, PG1573, PG1534, PG1495, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118","PG1154, PG1115, PG1116, PG1117, PG1118","PG1850-PG1811, PG1811-PG1810, PG1810-PG1769, PG1769-PG1730, PG1730-PG1690, PG1690-PG1613, PG1613-PG1573, PG1573-PG1534, PG1534-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118",PG1850,PG1118
"PG1695, PG1694, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118, PG1157","PG1115, PG1116, PG1117, PG1118, PG1157","PG1695-PG1694, PG1694-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118, PG1118-PG1157",PG1695,PG1157
"PG1695, PG1694, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1156","PG1154, PG1115, PG1116, PG1155, PG1156","PG1695-PG1694, PG1694-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1156",PG1695,PG1156
"PG1695, PG1694, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1233","PG1154, PG1115, PG1116, PG1155, PG1233","PG1695-PG1694, PG1694-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1233",PG1695,PG1233
"PG1695, PG1694, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1228, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118","PG1154, PG1115, PG1116, PG1117, PG1118","PG1695-PG1694, PG1694-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118",PG1695,PG1118
"PG1531, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1377, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118, PG1157","PG1115, PG1116, PG1117, PG1118, PG1157","PG1531-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1377, PG1377-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118, PG1118-PG1157",PG1531,PG1157
"PG1531, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1377, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1156","PG1154, PG1115, PG1116, PG1155, PG1156","PG1531-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1377, PG1377-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1156",PG1531,PG1156
"PG1531, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1377, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1233","PG1154, PG1115, PG1116, PG1155, PG1233","PG1531-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1377, PG1377-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1233",PG1531,PG1233
"PG1531, PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1377, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118","PG1154, PG1115, PG1116, PG1117, PG1118","PG1531-PG1530, PG1530-PG1491, PG1491-PG1492, PG1492-PG1453, PG1453-PG1414, PG1414-PG1415, PG1415-PG1376, PG1376-PG1377, PG1377-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118",PG1531,PG1118
"PG1572, PG1533, PG1494, PG1456, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1117, PG1118, PG1157","PG1115, PG1116, PG1117, PG1118, PG1157","PG1572-PG1533, PG1533-PG1494, PG1494-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1117, PG1117-PG1118, PG1118-PG1157",PG1572,PG1157
"PG1572, PG1533, PG1494, PG1456, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1154, PG1115, PG1116, PG1155, PG1156","PG1154, PG1115, PG1116, PG1155, PG1156","PG1572-PG1533, PG1533-PG1494, PG1494-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1154, PG1154-PG1115, PG1115-PG1116, PG1116-PG1155, PG1155-PG1156",PG1572,PG1156
