Folio,unidad,ciudad,trim,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro
34009,302209,1,3,1,1,1,23,1,3,3,-2,2,2,6,2,6,2,2,4,1,3,0,2,2,1,0,5,0,-5,-5,-5,-5,-5,2,2,2,2,3,11,1108,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,3,1,1,1217001,3,2,-20,1,12000,2,2,2,2,2,2,-22,-22,7,71010001,2,28,280320001,2,7,71010001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,5,1,2,-27,1,12000,2,5,1,12000,2,1,2,2,2,2,2,-31,-31,1,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,1,1,2,4,2,-38,48,48215,4821545384,1,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1
33909,302209,1,3,1,1,1,30,1,3,2,-2,2,2,6,2,1,1,-3,5,1,4,0,3,1,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,6,601,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,2,1,1,1217001,3,2,-20,1,16000,2,2,2,2,2,2,-22,-22,7,71010001,2,7,70090001,2,7,71010001,2,17,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280270001,1,2,1,3,2,-28,-28,-28,-28,9000,2,1,2,2,2,2,2,-31,-31,1,2,1,2,2,-33,0,-34,-34,-34,-34,48,48479,4847941464,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,20,2,2,2,2,4,2,-38,48,48479,4847941464,20,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,3,0,1
33809,302209,1,3,1,1,1,18,1,3,3,-2,2,2,6,2,6,2,2,5,1,4,0,2,2,1,0,5,0,-5,-5,-5,-5,-5,2,2,2,2,3,6,602,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,5,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,3,2,1,1,1217001,3,2,-20,1,10000,2,1,2,2,2,2,-22,-22,1,10010001,2,7,71010001,2,7,71010001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,3,2,-28,-28,-28,-28,10000,2,1,2,2,2,2,2,-31,-31,1,4,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,2,2,4,2,-38,48,48215,4821545384,1,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1
30309,282209,1,3,1,1,2,26,1,3,3,-2,2,2,6,2,1,1,-3,3,1,2,0,2,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,8,802,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,3,1,1,1217001,3,2,-20,1,8000,2,1,1,2,2,2,-22,-22,7,70890001,2,1,10010001,2,7,70890001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,3,2,-28,-28,-28,-28,8000,2,1,2,2,2,2,2,-31,-31,1,4,2,-32,2,-33,1,1,1,4,1,48,48215,4821545384,5,4,3,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,10,2,2,2,2,4,2,-38,48,48215,4821545384,10,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1
30209,282209,1,3,1,1,2,30,1,3,3,-2,2,2,6,2,1,2,1,4,2,2,0,2,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,2,207,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,3,2,3,2,1,1,1217001,3,2,-20,1,12000,2,1,1,2,2,2,-22,-22,7,70090001,2,28,280270001,2,28,280270001,2,5,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280270001,1,2,1,3,2,-28,-28,-28,-28,12000,2,1,1,2,2,2,2,-31,-31,1,4,2,-32,2,-33,2,2,1,4,1,48,48479,4847941464,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,10,2,2,2,2,4,2,-38,48,48479,4847941464,10,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1
30109,282209,1,3,1,1,2,24,1,3,3,-2,2,2,6,2,6,2,2,6,1,4,1,3,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,6,601,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,3,1,1,1217001,0,2,-20,1,9000,2,2,2,2,2,2,-22,-22,7,70890001,2,7,70090001,2,7,70890001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,3,2,-28,-28,-28,-28,9000,2,1,1,2,2,2,2,-31,-31,1,4,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,5,2,1,2,4,2,-38,48,48215,4821545384,1,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1
30009,282209,1,3,1,1,2,25,1,3,3,-2,2,2,6,2,6,2,2,3,0,3,0,2,2,1,0,5,0,-5,-5,-5,-5,-5,1,2,2,2,3,6,601,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,3,1,1,1217001,0,2,-20,1,12000,2,1,2,2,2,2,-22,-22,7,70890001,2,7,71010001,2,7,71010001,2,10,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,1,3,2,-28,-28,-28,-28,12000,2,1,1,2,2,2,2,-31,-31,0,4,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,4,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,15,2,2,2,2,4,2,-38,48,48215,4821545384,15,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,4,0,1
29709,282209,1,3,1,1,2,27,1,2,2,-2,2,2,6,2,1,2,1,3,1,2,0,1,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,5,503,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,2,2,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,1,96,2,1,1217001,3,2,-20,1,2000,2,2,2,2,2,2,-22,-22,7,70890001,2,7,70650001,2,7,70650001,2,25,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,2,2,1,2,1,2000,2,1,1,2000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,1,1,1,1,1,48,48215,4821545384,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48215,4821545384,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
29609,282209,1,3,1,1,2,25,1,2,3,-2,2,2,6,2,1,2,1,4,2,2,0,1,2,1,1,1,1,2,-6,-6,-6,-6,1,2,2,2,3,8,821,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,1,1,1217001,3,2,-20,1,4000,2,2,2,2,2,2,-22,-22,7,70890001,2,9,90030001,2,9,90030001,2,26,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280330282,2,2,1,2,1,4000,2,1,1,4000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,1,1,1,1,1,48,48215,4821545384,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48215,4821545384,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,0,1
29509,282209,1,3,1,1,2,32,1,2,2,-2,2,2,6,2,1,2,1,4,2,2,0,1,2,1,1,5,1,2,-6,-6,-6,-6,1,2,2,2,3,13,1303,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,2,1,1217001,3,2,-20,1,5000,2,2,2,2,2,2,-22,-22,7,70400001,2,11,110070001,2,11,110070001,2,1,5,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,4,2,1,2,1,5000,2,1,1,5000,2,1,2,2,2,2,2,-31,-31,3,2,2,-32,2,-33,2,2,1,1,2,48,48215,4821545384,4,4,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,2,5,1,1,2,4,2,-38,48,48215,4821545384,2,5,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1
