folio,unidad,ciudad,trim,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro,estrato,upm,ponfin3
211,22211,1,4,1,1,1,24,1,5,1,1,2,2,3,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,12,1201,99,5,-11,-11,-11,-11,-11,-11,-11,12,99999,9999999999,10,6,1,-15,2,8,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,2,2,1,96,2,1,9999999,3,2,-20,1,999999,99,1,1,2,2,2,-22,-22,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,0,1,1011,1011022211,117.830056337686
311,22211,1,4,1,1,2,20,1,6,3,1,1,1,6,2,1,1,-3,1,-4,-4,-4,-4,-4,1,3,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,12,9999,99,1,12,9999,99,-13,-13,-13,-13,-13,-13,-13,777,7,2,8,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,3,2,3,96,2,1,1305024,3,2,-20,1,999999,99,1,1,2,2,2,-22,-22,26,260300001,2,99,999999999,99,26,260300001,2,13,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260020001,1,2,1,3,1,999999,99,8,2,999999,99,99,1,1,2,2,2,-31,-31,4,4,1,1,2,-33,0,-34,-34,-34,-34,4,99999,9999999999,5,1,5,1,2,2,2,2,2,2,-37,-37,-37,2,1,2,2,8,2,2,2,2,4,2,-38,4,99999,9999999999,8,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,2,0,-47,-47,-47,-47,0,-49,2,2,2,5,0,1,1011,1011022211,69.6321105461212
411,22211,1,4,1,1,2,18,1,6,1,1,1,1,6,2,5,2,1,3,0,3,0,1,2,1,3,5,1,2,-6,-6,-6,-6,2,2,2,2,1,14,1402,99,1,14,1402,99,-13,-13,-13,-13,-13,-13,-13,777,7,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,3,2,3,96,2,1,9999999,3,2,-20,1,999999,99,1,1,1,2,2,5,2,9,999999999,99,99,999999999,99,9,999999999,99,1,5,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,80410082,3,2,1,3,1,999999,99,4,2,999999,99,2,1,1,2,2,2,-31,-31,4,4,1,2,2,-33,0,-34,-34,-34,-34,48,99999,9999999999,5,1,3,1,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,8,2,2,1,2,4,2,-38,48,99999,9999999999,8,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,1,-44,2022,2,2,1,-46,-46,9,2022,0,0,-49,1,-50,-50,2,0,1,1011,1011022211,69.6321105461212
711,22211,1,4,1,1,2,25,1,6,1,1,1,1,6,2,6,1,-3,8,2,3,3,2,1,1,0,1,1,2,-6,-6,-6,-6,1,2,2,2,1,18,1802,99,1,18,1802,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,511,1,2,2,2,2,2,2,2,2,11,7,2200,3,5,722,2,2,2,96,1,1,9999997,1,2,-20,2,-21,-21,1,1,2,2,1,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,45,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,1,1,2,3,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,15,2,1,1,2,-28,-28,-28,-28,30000,3,1,1,1,2,2,2,-31,-31,2,2,2,-32,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,6,1,2,1,2,2,2,1,1,2,-37,-37,-37,2,2,2,2,8,2,2,1,2,4,1,1,97,99997,9999999997,8,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,2,7,1,1011,1011022211,69.6321105461212
1011,22211,1,4,1,1,2,45,1,0,0,2,2,2,6,2,6,1,-3,5,0,5,0,1,1,1,0,1,5,2,-6,-6,-6,-6,1,2,2,2,1,1,101,99,1,1,101,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,2,3,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,2,1,1,9999997,1,2,-20,1,999997,97,2,2,2,2,2,-22,-22,28,280320001,2,97,999999997,97,28,280320001,2,1,5,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,10,2,1,3,1,999997,97,4,2,999997,97,2,2,2,2,2,2,-31,-31,0,1,1,2,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,3,4,5,2,2,2,2,2,2,1,1,1,1,2,2,2,2,10,2,2,2,2,4,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,0,0,1,1011,1011022211,69.6321105461212
1511,32211,1,4,1,1,1,32,1,6,1,1,2,2,6,2,6,1,-3,5,0,5,0,2,1,1,0,3,0,-5,-5,-5,-5,-5,2,2,2,2,1,20,2004,99,1,20,2004,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,611,6,1,1,2,2,2,2,2,2,9,6,1000,3,5,111,3,2,1,96,2,1,1305024,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,1,1,1011,1011032211,97.1794279073696
1811,32211,1,4,1,1,1,28,1,2,3,-2,2,2,6,2,1,1,-3,5,1,4,0,2,1,1,1,0,1,2,-6,-6,-6,-6,2,2,2,2,1,21,2102,99,1,21,2102,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,713,1,2,2,2,2,2,2,2,2,8,5,3200,3,5,237,2,1,1,6,1,1,1305024,0,2,-20,1,92000,3,2,1,1,2,2,5,2,7,999999999,99,21,999999999,99,7,70190001,2,12,2,2,-23,-23,-23,-23,-23,-23,2,2,2,2,2,1,2,1,2,1,3,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260040001,1,3,1,3,1,92000,3,1,1,93000,3,1,1,2,2,2,2,-31,-31,2,2,1,1,2,-33,0,-34,-34,-34,-34,4,99999,9999999999,6,1,2,1,2,2,2,1,1,2,-37,-37,-37,1,2,1,2,9,2,2,2,2,4,1,4,48,99999,9999999999,10,2,2,-41,-41,-41,-41,-41,-41,-41,3,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,10,2022,0,0,-49,1,-50,-50,4,3,1,1011,1011032211,97.1794279073696
1910,72210,1,4,1,1,1,22,1,4,4,-2,2,2,3,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,0,0,-5,-5,-5,-5,-5,1,2,1,2,1,1,101,99,1,9,901,99,-13,-13,-13,-13,-13,-13,-13,4,6,1,-15,1,-17,212,1,1,1,1,1,1,2,1,2,8,5,3000,3,5,523,2,1,2,1,2,1,1312047,3,1,3,1,4000,2,2,2,2,2,2,-22,-22,20,999999999,99,9,999999999,99,22,999999999,99,1,3,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280330282,1,2,2,-27,1,4000,2,1,2,4500,2,1,2,2,2,2,2,-31,-31,1,2,1,2,2,-33,0,-34,-34,-34,-34,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,5,8,1,1011,1011072210,26.5724998184214
2111,32211,1,4,1,1,1,29,1,1,97,1,1,1,6,2,5,1,-3,5,3,2,0,1,1,1,1,1,1,2,-6,-6,-6,-6,1,2,2,2,1,8,805,99,1,8,805,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,712,2,2,2,2,2,2,2,2,2,8,6,1200,3,4,236,2,2,2,1,2,1,1217001,3,1,2,1,30000,3,2,2,2,2,2,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,3,2,1,3,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,99,3,1,1011,1011032211,97.1794279073696
2210,72210,1,4,1,1,1,51,1,5,4,-2,2,2,3,2,5,1,-3,4,1,4,0,2,1,1,1,1,1,2,-6,-6,-6,-6,1,2,2,2,1,11,1101,99,1,11,1101,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,712,6,2,2,2,2,2,2,2,2,8,6,150,3,2,236,1,2,1,96,2,1,1312047,4,2,-20,1,50000,3,2,2,2,2,2,-22,-22,7,70060038,1,24,999999999,99,99,999999999,99,6,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,3,1,50000,3,1,2,51500,3,1,2,2,2,2,1,-31,-31,0,1,1,2,2,-33,0,-34,-34,-34,-34,48,99999,9999999999,6,1,5,1,2,2,1,1,1,2,-37,-37,-37,1,2,2,2,4,2,2,2,2,4,2,-38,48,99999,9999999999,4,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,1,-44,1997,1,2,1,-46,-46,9,2022,0,0,-49,1,-50,-50,5,3,1,1011,1011072210,26.5724998184214
2410,72210,1,4,1,1,1,32,1,3,2,-2,2,2,6,2,5,1,-3,6,2,4,0,2,1,1,1,1,1,2,-6,-6,-6,-6,2,2,2,2,1,9,917,99,1,9,917,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,972,1,2,2,2,1,2,2,2,2,11,6,2000,3,5,611,3,2,1,2,2,1,1305024,3,2,-20,1,40000,3,2,2,2,2,2,-22,-22,7,71010001,2,24,240280001,2,24,240280001,2,18,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,6,2,1,1,1,40000,3,3,2,42000,3,1,2,2,2,2,2,-31,-31,2,1,1,1,2,-33,1,0,-35,-35,1,48,99999,9999999999,5,1,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,2,2,2,4,2,-38,48,99999,9999999999,6,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,2,2022,2022,2,2,2,0,-47,-47,-47,-47,1,1,1,-50,-50,3,7,1,1011,1011072210,26.5724998184214
2510,72210,1,4,1,1,1,43,1,3,2,-2,2,2,6,2,5,1,-3,5,1,4,0,2,1,1,1,1,1,2,-6,-6,-6,-6,2,2,2,2,1,9,920,99,1,9,920,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,422,6,2,2,2,2,2,2,2,2,10,7,99999,99,99,531,1,2,4,96,2,1,1217001,0,1,2,2,-21,-21,2,2,2,2,2,-22,-22,21,999999999,99,19,190390001,2,9,999999999,99,12,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,999,99,2,-27,2,-28,-28,-28,-28,150000,3,1,2,2,2,2,2,-31,-31,0,8,1,2,2,-33,2,1,1,3,2,48,99999,9999999999,3,1,2,1,2,2,2,1,1,3,-37,-37,-37,2,2,2,2,3,2,2,1,2,4,1,1,48,99999,9999999999,3,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,0,-43,-43,-43,-43,1,-46,-46,9,2022,0,0,-49,1,-50,-50,3,4,1,1011,1011072210,26.5724998184214
5610,122210,1,4,1,1,1,24,1,3,2,-2,2,2,6,2,6,1,-3,1,-4,-4,-4,-4,-4,3,0,3,0,-5,-5,-5,-5,-5,2,2,2,2,1,98,9998,98,5,-11,-11,-11,-11,-11,-11,-11,12,12021,9999999999,10,6,1,-15,2,99,712,1,2,2,1,2,2,2,1,2,8,5,100,2,2,236,2,2,1,96,2,1,9999998,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,26,999999999,99,97,999999997,97,21,999999999,99,3,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260020001,15,2,1,2,1,2000,2,7,2,7000,2,2,2,2,2,2,2,-31,-31,3,2,1,2,2,-33,0,-34,-34,-34,-34,4,99999,9999999999,1,1,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,5,5,2,2,1,4,2,-38,12,99999,9999999999,10,6,1,712,8,6,100,2,2,236,2,98,500,8,96,1,0,-43,-43,-43,-43,2,1,-48,1,2012,0,0,-49,1,-50,-50,3,3,1,1011,1011122210,67.3169995400008
5611,42211,1,4,1,1,2,24,1,5,1,1,1,1,6,2,6,2,2,3,1,1,1,1,2,5,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,13,1315,99,1,13,1315,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,2,8,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,1,96,2,1,1305024,4,2,-20,1,110000,3,1,1,2,2,2,-22,-22,9,999999999,99,99,999999999,99,99,999999999,99,34,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999999,999,99,1,3,1,110000,3,4,1,110000,3,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,1,0,1,1011,1011042211,29.3872631492973
5710,122210,1,4,1,1,1,35,1,3,2,-2,2,2,6,2,5,1,-3,5,2,3,0,2,1,1,1,1,1,2,-6,-6,-6,-6,2,2,2,2,1,9,9999,98,1,9,922,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,264,6,2,2,2,2,2,2,2,2,9,6,150,3,2,238,2,2,1,96,2,1,1312047,3,2,-20,1,90000,3,2,1,2,2,2,-22,-22,27,999999999,99,21,999999999,99,19,190390001,2,17,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,6,2,1,3,1,90000,3,4,1,90000,3,2,2,2,2,2,2,-31,-31,2,2,1,2,2,-33,0,-34,-34,-34,-34,48,99999,9999999999,5,1,4,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,8,1,1011,1011122210,67.3169995400008
5811,42211,1,4,1,1,2,21,1,2,3,-2,2,2,6,2,6,2,2,4,2,2,0,2,2,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,9,922,99,1,9,922,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,312,1,2,2,2,2,2,2,2,2,11,6,1000,3,5,461,3,2,2,96,1,1,9999997,3,2,-20,1,40000,3,2,2,2,2,2,-22,-22,7,999999999,99,26,999999999,99,7,999999999,99,1,5,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,4,8,1,1011,1011042211,29.3872631492973
6110,122210,1,4,1,1,1,35,1,3,2,-2,2,2,3,2,6,1,-3,3,2,1,0,1,1,7,0,1,3,1,2,1,2,3,2,1,2,2,1,1,101,99,5,-11,-11,-11,-11,-11,-11,-11,12,99999,9999999999,16,6,1,-15,2,8,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,1,2,1,96,2,1,1705016,0,2,-20,1,12,2,1,1,2,2,2,-22,-22,28,280320001,2,7,70060038,1,7,70060038,1,3,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,8,1,1,3,1,12,2,7,1,12000,2,2,1,1,2,2,2,-31,-31,3,1,1,1,2,-33,0,-34,-34,-34,-34,48,48309,9999999999,5,1,4,1,2,2,2,1,1,2,-37,-37,-37,2,2,2,2,1,6,2,1,2,4,2,-38,48,48309,9999999999,1,6,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,3,1,-48,11,2021,3,0,-49,3,1,1,3,0,1,1011,1011122210,67.3169995400008
6111,42211,1,4,1,1,2,20,1,1,3,-2,2,2,6,2,6,2,2,3,0,3,0,3,2,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,1,101,99,1,1,101,99,-13,-13,-13,-13,-13,-13,-13,777,7,2,1,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,3,2,2,1,1,1,1217001,3,2,-20,1,130000,3,1,2,2,2,2,-22,-22,26,999999999,99,97,999999997,97,26,999999999,99,15,2,2,-23,-23,-23,-23,-23,-23,2,2,2,1,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260000000,2,2,1,6,1,130000,3,6,1,145000,3,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,4,0,1,1011,1011042211,29.3872631492973
6210,122210,1,4,1,1,2,26,1,4,4,-2,2,2,6,2,6,2,2,2,0,0,0,1,2,6,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,1,22,2203,99,1,22,2203,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,2,8,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,-18,3,2,3,96,2,1,9999999,4,2,-20,1,750,2,1,1,1,1,2,1,2,28,280220001,2,99,999999999,99,28,280220001,2,8,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,1,1,1,2,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,999999997,3,2,1,3,1,7500,2,1,1,62000,3,2,1,1,1,1,2,1,2,2,4,1,2,2,-33,0,-34,-34,-34,-34,48,99999,9999999999,5,1,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,6,2,2,1,2,4,2,-38,48,99999,9999999999,6,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,1,3,2022,9999,2,1,3,0,-47,-47,-47,-47,3,0,3,3,2,5,0,1,1011,1011122210,39.7812315405246
6211,42211,1,4,1,1,2,20,1,2,2,-2,2,1,6,2,3,1,-3,20,5,14,1,2,1,1,0,1,1,2,-6,-6,-6,-6,2,2,2,2,1,13,1315,99,1,13,1315,99,-13,-13,-13,-13,-13,-13,-13,777,7,2,8,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,2,1,1,1,9999999,0,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,2,5,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,1,1,1,2,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260040001,1,5,1,5,1,999997,97,97,2,999997,97,1,2,2,2,2,2,-31,-31,0,2,1,2,2,-33,0,-34,-34,-34,-34,97,99997,9999999997,97,2,4,2,2,2,2,2,2,1,1,1,1,2,2,2,2,7,2,2,2,2,4,1,4,97,99997,9999999997,7,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,0,1,1011,1011042211,29.3872631492973
