folio,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1a,p1n,p2,p3,p3_1,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p7_4_1,p7_4_2,p7_4_3,p7_4_4,p7_5,p7_5_1,p7_5_2,p7_5_2_1,p8,p9_1,p9_2,p9_3,p9_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p13_11,p13_12,p13_13_1,p13_13_2,p13_14,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_0_1,p18_0_2,p18_0_3,p18_0_4,p18_0_5,p18_1,p18_2,p19_1e,p19_1l,p19_1u,p19_2e,p19_2l,p19_2u,p20e,p20l,p20u,p21c,p21t,p22,p22_1e,p22_1m,p22_1l,p22_1u,p22_3,p22_4,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_0_1,p24_0_2,p24_0_3,p24_0_4,p24_1,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28c,p28u,p28_1,p29_0_1,p29_0_2,p29_0_3,p29_0_4,p29_0_5,p29_1,p29_2,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p34,p35es,p35cn,p35cd,p35_1,p35_1_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_2,p35_2_3_1,p35_2_3_2,p35_2_3_3,p35_3_1,p35_3_2,p35_3_3,p35_3_4,p35_4c,p35_4t,p35_5,p35_6,p35_7,p35_8,p35_9,p35_9_1,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p38_5,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p50_1,nivel,oficio_res,filtro,estrato,upm,ponfin3
1308,3,22208,1,1,1,1,18,1,6,1,1,2,2,6,2,6,2,2,2,0,2,0,2,2,1,0,0,0,-5,-5,-5,-5,-5,2,2,2,2,1,1,101,2,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,777,7,2,2,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,1,2,1,2,2,1,1217001,0,2,-20,2,-21,-21,1,2,2,2,2,-22,-22,7,999999999,99,99,999999999,99,8,999999999,99,52,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,1,1,1,1,6,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,80410082,45,2,1,5,2,-28,-28,-28,-28,0,0,-30,1,2,2,2,2,-31,-31,0,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48141,4814134832,3,1,3,2,2,2,2,1,1,3,-37,-37,-37,2,2,2,2,7,2,2,2,2,4,2,-38,48,48141,4814134832,7,2,2,-41,-41,-41,-41,-41,-41,-41,2,99,99999,99,99,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,2,0,1,1011,1011022208,60.1263685888445
908,3,22208,1,1,1,2,20,1,2,2,-2,2,2,6,2,6,2,2,4,1,2,1,2,2,1,0,0,1,2,-6,-6,-6,-6,1,2,2,2,1,1,101,2,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,2,1,321,1,2,2,1,2,2,2,2,2,8,6,3100,3,5,485,2,2,2,96,2,1,1217001,3,2,-20,1,60000,3,2,2,2,2,2,-22,-22,26,999999999,99,99,999999999,99,26,999999999,99,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,269999999,5,2,1,3,1,60000,3,6,2,65000,3,1,2,2,2,2,2,-31,-31,0,2,1,2,2,-33,0,-34,-34,-34,-34,4,99999,9999999997,3,1,3,1,2,2,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,4,2,-38,4,99997,9999999997,3,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,8,1,1011,1011022208,91.2446858706102
1008,3,22208,1,1,1,2,25,1,6,1,1,2,2,6,2,6,1,-3,1,-4,-4,-4,-4,-4,1,0,0,0,-5,-5,-5,-5,-5,1,2,2,2,1,1,101,2,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,961,2,2,2,2,2,2,2,2,2,5,6,1500,3,5,814,3,2,2,96,1,1,1312047,0,2,-20,2,-21,-21,2,1,2,2,1,-22,-22,7,999999999,99,99,999999999,99,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,6,1,1011,1011022208,91.2446858706102
508,3,22208,1,1,1,2,24,1,3,2,-2,2,2,6,2,6,2,2,9,4,4,1,2,2,1,0,1,1,2,-6,-6,-6,-6,2,2,2,2,1,12,1212,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,961,1,1,2,2,2,2,2,2,2,12,7,600,3,5,814,2,2,1,2,1,1,1312047,3,2,-20,1,999997,97,1,1,2,2,2,-22,-22,97,999999997,97,97,999999997,97,97,999999997,97,24,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,8,2,1,3,1,999997,97,4,2,999997,97,97,1,1,2,2,2,-31,-31,0,2,1,97,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,7,1,3,2,2,2,2,2,1,2,-37,-37,-37,2,2,2,2,8,2,2,2,2,4,2,-38,97,99997,9999999997,8,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,1,-44,9997,2,2,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,6,1,1011,1011022208,91.2446858706102
408,3,22208,1,1,1,1,35,1,3,2,-2,2,2,6,2,6,1,-3,6,3,2,1,2,1,1,0,0,1,2,-6,-6,-6,-6,1,2,2,2,1,4,416,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,2,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,1,1,1312047,0,2,-20,1,30500,3,1,1,2,2,2,-22,-22,7,70340001,2,99,999999999,99,99,999999999,99,25,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,3,2,1,3,1,30500,3,6,2,30500,3,1,1,1,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,6,1,2,2,2,2,2,2,1,2,-37,-37,-37,2,2,2,2,4,2,2,2,2,4,2,-38,99,99999,9999999999,999,99,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011022208,60.1263685888445
5508,3,42208,1,1,1,1,20,1,3,2,-2,2,2,6,2,6,2,2,6,1,4,1,3,2,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,4,401,99,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,5,6,2,5,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,2,96,2,1,1217001,3,2,-20,2,-21,-21,2,2,2,2,2,-22,-22,7,70860001,2,28,999999997,97,28,999999997,97,30,2,2,-23,-23,-23,-23,-23,-23,2,1,2,2,2,2,2,2,2,2,-24,1,1,1,2,2,1,1,2,2,5,280220001,10,2,1,5,2,-28,-28,-28,-28,999999,99,99,2,2,2,2,2,-31,-31,0,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48061,4806110768,5,1,2,2,2,2,2,2,2,3,-37,-37,-37,2,2,2,2,7,2,2,2,2,4,2,-38,48,99997,9999999997,7,2,2,-41,-41,-41,-41,-41,-41,-41,3,99,99999,99,99,2,1,-44,2022,2,2,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011042208,65.9923557682439
5208,3,42208,1,1,1,1,28,1,6,1,1,2,2,6,2,5,1,-3,4,1,3,0,2,1,1,1,1,1,2,-6,-6,-6,-6,2,2,2,2,1,6,614,99,1,6,614,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,611,2,1,2,2,2,2,2,2,2,8,6,400,3,3,111,2,2,1,96,2,1,1305024,3,2,-20,1,999998,98,2,2,2,2,2,-22,-22,98,999999998,98,98,999999998,98,98,999999998,98,998,98,2,-23,-23,-23,-23,-23,-23,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,1,1,1011,1011042208,65.9923557682439
5408,3,42208,1,1,1,1,25,1,2,3,-2,2,2,3,2,1,1,-3,2,0,2,0,2,1,1,1,0,0,-5,-5,-5,-5,-5,1,2,2,2,1,5,510,99,1,5,510,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,611,2,2,1,2,2,2,2,2,2,8,6,50,3,2,111,3,2,2,1,1,1,1312047,0,2,-20,2,-21,-21,2,1,2,2,2,-22,-22,7,999999997,97,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,4,1,1,1011,1011042208,65.9923557682439
4908,3,42208,1,1,1,2,20,1,2,2,-2,2,2,6,2,6,2,2,8,5,3,0,4,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,1,22,2214,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,2,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,96,2,1,1312047,4,2,-20,1,999999,99,2,2,2,2,2,-22,-22,99,999999999,99,99,999999999,99,99,999999999,99,8,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,1,2,2,-27,1,999999,99,1,2,999999,99,2,2,2,2,2,2,-31,-31,5,2,2,-32,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,1,5,1,1,2,2,1,1,2,-37,-37,-37,2,2,2,2,5,2,2,2,2,4,2,-38,99,99999,9999999999,999,99,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011042208,100.146606443353
4708,3,42208,1,1,1,1,29,1,2,2,-2,2,2,6,2,6,2,2,5,2,3,0,1,2,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,2,201,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,2,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,2,1,1,1312047,0,2,-20,1,29500,3,1,1,2,2,2,-22,-22,99,999999999,99,99,999999999,99,99,999999999,99,25,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,5,2,1,3,1,29500,3,6,2,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,0,1,1011,1011042208,65.9923557682439
4608,3,42208,1,1,1,1,21,1,3,2,-2,2,2,6,2,6,2,2,6,0,6,0,3,2,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,3,314,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,611,1,2,1,2,2,2,2,2,2,9,6,2500,3,5,111,2,2,1,96,1,1,1312047,0,2,-20,1,10000,2,1,1,1,1,1,5,2,9,999999998,98,99,999999999,99,99,999999999,99,45,2,2,-23,-23,-23,-23,-23,-23,1,2,2,1,2,2,1,1,1,2,8,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,80410082,10,2,1,3,1,10000,2,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,1,1,1011,1011042208,65.9923557682439
5308,3,42208,1,1,1,2,22,1,2,2,-2,1,1,6,2,6,1,-3,3,0,3,0,1,1,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,17,1711,99,1,17,1711,99,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,962,2,1,1,2,2,2,2,2,2,8,7,1500,3,5,811,3,2,2,96,1,1,1705099,3,2,-20,1,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,7,1,1011,1011042208,100.146606443353
4808,3,42208,1,1,1,1,26,1,2,3,-2,2,2,6,2,6,1,-3,3,0,3,0,1,1,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,1,11,1101,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,264,2,1,1,2,2,2,2,2,2,8,7,2500,3,2,238,2,2,3,96,2,1,9999999,3,2,-20,1,6000,2,2,1,2,2,2,-22,-22,15,999999999,99,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,4,8,1,1011,1011042208,65.9923557682439
6208,3,52208,1,1,1,1,19,1,2,3,-2,2,2,6,2,6,1,-3,3,0,3,0,1,1,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,1,1,101,2,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,510,1,1,2,1,1,1,2,2,2,10,5,3500,3,5,722,2,1,2,96,2,1,1305024,3,2,-20,1,20000,3,2,1,2,2,2,-22,-22,7,70190001,2,99,999999999,99,28,280320001,2,30,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,289999999,10,2,1,3,1,20000,3,6,2,20000,3,1,2,2,2,2,2,-31,-31,5,2,1,2,2,-33,0,-34,-34,-34,-34,48,48309,9999999998,5,1,2,2,2,2,2,2,2,3,-37,-37,-37,2,2,2,2,5,2,2,1,2,4,1,4,48,48309,9999999999,5,2,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,7,1,1011,1011052208,36.6624198712466
5908,3,52208,1,1,1,1,24,1,3,3,-2,1,1,6,2,6,2,2,8,6,1,1,0,1,1,0,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,13,1326,2,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,1,-15,1,-17,421,1,2,2,2,2,2,2,2,2,8,7,1200,3,5,467,2,2,2,96,1,1,1305024,3,2,-20,1,90000,3,1,1,2,2,2,-22,-22,15,999999999,99,26,260040001,1,15,999999999,99,49,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260040001,15,2,1,3,1,90000,3,1,2,96000,3,1,1,1,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,6,1,3,1,2,2,2,1,1,2,-37,-37,-37,2,2,2,2,7,2,2,2,2,4,2,-38,99,99999,9999999999,999,99,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,7,2022,0,0,-49,1,-50,-50,4,4,1,1011,1011052208,36.6624198712466
5808,3,52208,1,1,1,1,36,1,2,3,-2,2,2,3,2,3,1,-3,5,0,5,0,5,1,1,0,1,1,2,-6,-6,-6,-6,1,2,2,2,1,1,136,2,1,1,136,2,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,281,1,2,2,2,2,2,2,2,2,12,6,3200,3,5,621,1,2,1,2,2,1,1305024,0,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,7,999999997,97,99,999999999,99,99,999999999,99,45,2,2,-23,-23,-23,-23,-23,-23,2,2,1,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,25,2,1,1,2,-28,-28,-28,-28,999999,99,99,1,1,2,2,2,-31,-31,0,2,1,97,2,-33,2,0,-35,-35,0,48,48215,4821545384,4,1,3,2,2,2,2,1,1,2,-37,-37,-37,1,1,2,2,3,2,2,2,2,4,2,-38,99,99999,9999999999,999,99,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,0,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,4,8,1,1011,1011052208,36.6624198712466
6508,3,52208,1,1,1,2,22,1,0,0,1,1,1,6,2,6,2,2,3,0,2,0,2,2,1,0,0,0,-5,-5,-5,-5,-5,2,2,2,2,1,12,1220,98,1,12,1220,98,-13,-13,-13,-13,-13,-13,-13,777,7,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,3,1,1,9999997,0,2,-20,1,50000,3,2,2,2,2,2,-22,-22,26,260430001,2,99,999999999,99,97,999999997,97,45,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,260020001,1,3,1,3,1,50000,3,4,1,52000,3,1,2,2,2,2,2,-31,-31,0,2,2,-32,2,-33,0,-34,-34,-34,-34,4,4003,9999999999,4,1,2,2,2,2,2,2,2,3,-37,-37,-37,2,2,2,2,7,2,2,2,2,4,2,-38,4,4003,9999999999,7,2,2,-41,-41,-41,-41,-41,-41,-41,3,98,99998,98,98,2,0,-43,-43,-43,-43,1,-46,-46,6,2022,0,0,-49,1,-50,-50,0,0,1,1011,1011052208,55.6370035796404
3209,3,62209,1,1,1,1,38,1,3,2,-2,2,2,6,2,5,1,-3,8,2,4,2,3,1,1,1,1,1,2,-6,-6,-6,-6,1,2,2,2,1,15,1503,97,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,2,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,2,1,1,1217001,0,2,-20,1,45000,3,1,1,2,2,2,-22,-22,7,999999999,99,99,999999999,99,99,999999999,99,35,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,10,2,1,3,1,45000,3,4,2,46500,3,1,1,1,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,4,2,1,2,2,1,1,1,2,-37,-37,-37,2,2,2,2,10,2,2,1,2,4,2,-38,48,48215,4821545384,10,2,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,2,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,3,0,1,1011,1011062209,37.5789803680278
3009,3,62209,1,1,1,1,26,1,3,2,-2,2,2,6,2,6,2,2,5,2,3,0,1,2,1,0,1,0,-5,-5,-5,-5,-5,1,2,2,2,1,11,1107,99,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,777,7,2,7,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,1,2,1,1,1217001,0,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,99,999999999,99,99,999999999,99,99,999999999,99,28,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,280320001,15,2,1,1,2,-28,-28,-28,-28,999999,99,99,1,1,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,48,48215,4821545384,4,1,2,2,2,2,1,1,1,2,-37,-37,-37,2,2,2,2,10,2,2,1,2,4,2,-38,48,48215,4821545384,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,0,1,1011,1011062209,37.5789803680278
2709,3,62209,1,1,1,1,28,1,3,3,-2,2,2,3,2,1,1,-3,2,0,2,0,2,1,1,1,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,1,101,2,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,777,7,1,-15,1,-17,511,1,1,2,2,2,2,2,2,2,8,6,3500,3,5,722,2,2,2,1,2,1,1217001,3,2,-20,2,-21,-21,1,1,2,2,2,-22,-22,28,999999999,99,26,999999999,99,26,999999999,99,25,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,269999999,3,2,1,5,2,-28,-28,-28,-28,3000,3,1,1,1,2,2,2,-31,-31,0,2,1,1,2,-33,0,-34,-34,-34,-34,4,99999,9999999999,4,1,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,8,2,2,2,2,4,2,-38,4,99999,9999999999,999,99,2,-41,-41,-41,-41,-41,-41,-41,2,0,-42,-42,-42,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,4,7,1,1011,1011062209,37.5789803680278
2509,3,62209,1,1,1,2,28,1,3,3,-2,2,2,3,2,5,1,-3,1,-4,-4,-4,-4,-4,1,3,1,0,-5,-5,-5,-5,-5,2,2,2,2,1,7,710,99,1,1,101,2,-13,-13,-13,-13,-13,-13,-13,12,6,2,6,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,2,2,3,96,2,1,1217001,3,2,-20,1,10000,3,2,2,2,2,2,-22,-22,28,999999999,99,2,999999999,99,2,999999999,99,15,2,2,-23,-23,-23,-23,-23,-23,1,2,2,2,2,2,2,2,2,2,-24,2,-25,-25,-25,-25,-25,-25,-25,-25,-25,269999999,5,2,1,3,1,10000,3,4,2,10000,3,2,2,2,2,2,2,-31,-31,0,4,1,1,2,-33,0,-34,-34,-34,-34,4,99999,9999999999,4,1,2,2,2,2,2,2,2,2,-37,-37,-37,2,2,2,2,10,2,2,2,2,4,2,-38,99,99999,9999999999,999,99,99,999,99,99,99999,99,99,999,2,99,99999,99,99,1,0,-43,-43,-43,-43,1,-46,-46,8,2022,0,0,-49,1,-50,-50,4,0,1,1011,1011062209,57.0279286691314
