folio,unidad,trimestre,ciudad,punto,turno,p1,p2,p3a,p3n,p4,p5,p5_1,p6,p6_1,p7,p8,p8_1,p9,p9_1_1,p9_1_2,p9_1_3,p9_2,p9_3,p9_4_1,p9_4_2,p9_4_3,p9_4_4,p9_5_1,p9_5_2,p9_5_3,p9_5_4,p10p,p10_1d,p10_1m,p10_1u,p11p,p11_1d,p11_1m,p11_1u,p11_2e,p11_2m,p11_2l,p11_2u,p11_3es,p11_3cn,p11_4c,p11_4t,p12,p12_1,p12_2,p12_2_1,p12_4,p12_5,p12_6_1,p12_6_2,p12_6_3,p12_6_4,p12_6_5,p12_6_6,p12_6_7,p12_6_8,p12_7,p12_8,p12_9c,p12_9u,p12_9t,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_14,p13,p14,p14_1,p15,p16,p16_1,p16_2,p17,p18,p18_1,p18_1_1,p18_1_2_1,p18_1_2_2,p19,p20,p20_1c,p20_1u,p20_2,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p22_1e,p22_1l,p22_1u,p22_2e,p22_2l,p22_2u,p23_0_1,p23_0_2,p23_0_3,p23_0_4,p23_0_5,p23_1,p23_2,p24e,p24m,p24l,p24u,p25_0_1,p25_0_2,p25_0_3,p25_0_4,p25_1,p26,p26_1_1,p26_1_2,p26_1_3,p26_1_4,p26_1_5,p26_1_6,p26_1_7,p26_2,p27_1,p27_1_1,p27_2,p27_1_2,p27_3,p27_1_3,p27_4,p27_1_4,p28,p29,p30e,p30m,p30l,p30u,p30_1c,p30_1t,p30_3,p30_4,p31,p32,p33c,p33t,p33_1c,p33_1u,p33_1_1,p34e,p34m,p34l,p34u,p34_1,p34_1_1,p34_2,p34_2_1_1,p34_2_1_2,p34_2_1_3,p34_2_1_4,p34_2_1_5,p34_2_1_6,p34_2_2,p34_2_3_1,p34_2_3_2,p34_2_3_3,p34_3_0_1,p34_3_0_2,p34_3_0_3,p34_3_0_4,p34_3_1_1,p34_3_1_2,p34_3_1_3,p34_3_1_4,p34_4c,p34_4t,p34_5_1,p34_5_2,p34_5_3,p34_5_4,p34_5_5,p34_5_6,p34_5_7,p34_6,p34_7,p34_8,p34_9,p34_10_1,p34_10_2,p34_10_3,p34_10_4,p34_10_5,p34_10_6,p34_10_7,p34_10_8,p34_11,p34_12,p34_12_1,p34_13,p34_14,p35,p36,p37,p38,p39m,p39a,p40,p41,p42,p43,p44,p45,p45_1,p45_2,p46,p47,p48,p48_1,p49,p50,p50_1,p51c,p51t,p52,p52_1,p52_2,p52_3,nivel,oficio_mx,filtro,estrato,upm,ponfin3
34611,102211,4,1,1,1,1,41,6,1,1,2,2,6,2,6,2,2,4,0,2,2,1,1,1,0,1,3,1,2,2,2,2,17,1707,97,2,8,801,2,-8,-8,-8,-8,-8,-8,34,6,1,-10,2,2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,2,2,1,4,2,4,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,27,270040001,2,2,2,2,2,2,-20,-20,27,27004,270040001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,1,7,7065,70650001,2,2,5,922,236,1,1,5,5,999999,99,1,27,27004,270040001,2,4,1,1,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,1,2,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,3,1,1011,1011102211,5.642526
34711,102211,4,1,1,1,1,22,5,1,1,2,2,6,2,1,1,-2,4,2,2,0,2,1,1,1,5,1,1,2,2,2,2,7,703,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,721,2,2,2,2,2,2,2,2,2,8,6,450,4,2,811,3,2,1,2,1,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,27,270040001,2,1,2,2,2,2,-20,-20,27,27004,270040001,2,2,2,1,2,4,1,1,1,2,2,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,2,15,2,9000,4,2,30,30039,300390001,2,4,2,5,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,1,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,2,3,6,1,2,1,2,1,0,1,1011,1011102211,5.642526
34811,102211,4,1,1,1,1,20,6,1,1,2,2,6,2,6,2,2,9,4,5,0,4,2,1,0,1,0,2,2,2,2,2,7,703,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,834,1,2,2,2,2,2,2,2,2,8,6,9000,4,5,467,3,2,1,96,2,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,99,999999999,99,99,999999999,99,2,2,2,2,2,-20,-20,99,99999,999999999,99,2,2,2,2,-21,1,1,1,2,2,2,2,2,3,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,2,3,999999,99,2,99,99999,999999999,99,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999999,2,-41,48,1,2,5,6,1,2,1,2,2,0,1,1011,1011102211,5.642526
34911,102211,4,1,1,1,1,23,3,1,1,2,2,6,2,1,1,-2,4,2,2,0,1,1,1,1,1,1,1,2,2,2,2,8,801,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,411,2,2,2,2,2,2,2,2,2,8,6,500,4,2,465,2,2,1,2,1,5,2,1,1705099,2,-15,-15,1,3,0,-17,-17,-17,3,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,27,270040001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,20,2,2800,4,2,30,30003,300030001,2,4,2,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999999,2,-41,48,2,-42,888,8,1,2,1,2,1,0,1,1011,1011102211,5.642526
35011,102211,4,1,1,1,1,28,4,1,1,2,2,6,2,6,2,2,4,1,3,0,1,1,1,0,1,1,1,2,2,2,2,16,1621,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,922,2,2,2,2,2,2,2,2,2,8,6,4000,4,2,236,2,2,1,96,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,99,999999999,99,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,4,2,999999,99,2,7,7065,70650001,2,4,1,1,2,2,2,2,2,2,2,-30,-30,-30,1,1,2,2,2,2,1,2,5,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,51,1,1,888,8,1,1,-44,-44,1,0,1,1011,1011102211,5.642526
35111,102211,4,1,1,1,1,20,6,1,1,2,2,6,2,6,2,2,9,5,1,3,3,2,1,0,1,0,1,2,2,2,2,7,703,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,8,6,150,4,2,111,2,2,1,2,2,4,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,7,70270001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,3,2,8000,4,2,7,7065,70650001,2,4,4,1,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,1,1,2,1,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,2,0,1,1011,1011102211,5.642526
35211,102211,4,1,1,1,1,55,6,1,1,2,2,6,2,5,1,-2,3,1,2,0,2,1,0,3,1,1,1,2,1,2,2,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,712,2,2,2,2,2,2,2,2,2,8,6,400,4,2,236,1,2,1,2,2,5,2,1,1705099,2,-15,-15,1,2,0,-17,-17,-17,6,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,27,270040001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,7,2,10000,4,2,7,7065,70650001,2,4,1,2,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999999,2,-41,51,1,2,5,6,1,2,1,1,2,0,1,1011,1011102211,5.642526
35311,102211,4,1,1,1,1,25,5,1,1,2,2,6,2,1,1,-2,5,0,5,0,1,1,1,1,1,0,1,2,1,2,2,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,731,2,2,2,2,2,2,2,2,2,8,6,400,4,2,337,2,2,1,2,1,5,2,1,1705099,2,-15,-15,1,1,0,-17,-17,-17,0,2,-19,-19,-19,1,2,2,2,2,2,7,70650001,2,99,999999999,99,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,4,2,999999,99,2,7,7065,70650001,2,5,4,5,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999999,2,-41,99,2,-42,5,6,1,2,1,2,1,0,1,1011,1011102211,5.642526
81011,232211,4,1,1,1,1,21,2,2,-1,2,2,6,2,6,1,-2,1,-3,-3,-3,-3,-3,0,0,1,1,2,2,2,2,2,2,201,98,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,264,6,2,2,2,2,2,2,2,2,12,6,2000,4,2,811,1,2,3,96,2,4,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,1,10010001,2,9,90030001,2,1,2,2,2,2,-20,-20,19,19039,190390001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,3,1,4,5,2000,4,2,21,21003,210030001,2,4,1,2,1,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,3,3,2,2,2,2,1,1,1,1,2,4,2,1,2,2,2,2,2,1,2,1,2,-32,2,-33,2,2016,0,-35,-35,-35,0,-36,-36,1,1,1,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,-39,3,0,1,1011,1011232211,5.956
81111,232211,4,1,1,1,1,27,3,2,-1,2,2,6,2,1,1,-2,3,2,1,0,1,1,1,1,1,1,1,2,2,2,2,10,1006,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,6,2,2,2,2,2,2,2,2,8,6,120,4,2,111,1,2,1,96,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,1,2,2,7,70650001,2,97,999999997,97,2,2,2,2,2,-20,-20,30,30003,300030001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,24000,4,1,97,99997,999999997,97,4,1,1,1,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,8,2,2,2,2,1,1,1,1,2,2,3,2,1,2,2,2,2,2,1,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,8,50250001,1,3,48,2,-42,888,8,1,1,-44,-44,3,0,1,1011,1011232211,5.956
81511,232211,4,1,1,1,1,29,6,1,1,2,2,6,2,1,1,-2,5,3,2,0,1,1,1,1,1,1,1,2,2,2,2,18,1810,1,2,15,1502,1,-8,-8,-8,-8,-8,-8,12,6,1,-10,1,-12,611,2,2,2,2,2,2,2,2,2,12,6,250,4,2,111,2,2,5,96,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,6,2,-19,-19,-19,1,1,2,2,2,2,30,300390001,2,30,301180001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,16,2,25000,4,1,9,9014,90140001,2,5,1,4,2,2,2,2,2,2,3,-30,-30,-30,2,2,1,2,2,2,1,2,5,2,1,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2,-32,1,1,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,8,50250001,2,-41,48,1,2,5,6,1,2,1,1,2,0,1,1011,1011232211,5.956
82011,232211,4,1,1,1,1,42,2,3,-1,2,2,6,2,6,1,-2,3,1,2,0,2,1,1,0,5,3,1,2,2,2,2,8,801,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,713,2,2,2,2,2,2,2,2,2,8,6,99999,99,99,236,1,2,1,2,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,0,2,-19,-19,-19,2,2,2,2,2,2,7,70650001,2,99,999999999,99,2,2,2,2,2,-20,-20,30,30193,301930001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,12,2,2000,2,1,30,30193,301930001,2,4,1,3,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,280270001,2,-41,13,1,1,2,6,1,2,1,1,4,0,1,1011,1011232211,5.956
82111,232211,4,1,1,1,1,36,1,3,-1,2,2,6,2,1,1,-2,5,2,2,1,1,1,1,7,1,7,1,2,2,2,2,2,209,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,25,6,1,-10,1,-12,612,6,2,2,2,2,2,2,2,2,8,6,99999,99,99,112,3,2,1,96,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,2,2,27,270040001,2,30,301740001,2,2,2,2,2,2,-20,-20,7,7065,70650001,2,2,2,2,2,-21,1,1,1,2,2,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,1,20,20014,200140001,2,2,5,612,112,2,1,70,2,999999,99,1,30,30174,301740001,2,5,1,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,-33,0,-34,2,2003,9,2022,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,6,1,1,3,6,1,2,1,2,4,1, ,1011,1011232211,5.956
74410,312210,4,1,1,1,1,26,5,1,1,2,2,6,2,1,1,-2,4,2,2,0,1,1,1,1,1,0,1,2,2,1,2,5,501,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,1,1,2,2,2,2,2,2,2,8,6,2000,4,3,111,1,2,2,96,1,5,2,1,1217001,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,1,2,2,7,70090001,2,97,999999997,97,1,1,2,2,2,-20,-20,97,99997,999999997,97,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,2,4,2,7000,4,1,7,99997,999999997,97,4,1,3,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,2,2,2,2,-31,-31,-31,-31,4,2,2,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,2,-32,1,4,2,2019,2,2019,10,2022,1,2,5,-37,-37,-37,-37,-37,1,50250001,2,-41,48,2,-42,888,8,1,2,1,1,1,0,1,1011,1011312210,6.240976
74510,312210,4,1,1,1,1,44,1,99,1,2,2,6,2,6,2,5,99,99,99,99,97,2,0,0,1,0,1,2,2,2,2,1,107,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,1,1,2,2,2,2,2,2,2,10,7,3000,4,3,111,1,2,2,96,1,5,2,1,1217001,2,-15,-15,2,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,1,2,2,30,300320001,2,97,999999997,97,1,1,2,2,2,-20,-20,1,1001,10010001,2,1,1,2,2,6,2,-22,-22,-22,-22,-22,-22,-22,-22,1,2,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,1,5,6000,4,1,1,1001,10010001,2,4,1,2,1,2,2,1,1,1,2,-30,-30,-30,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,-32,2,-33,2,2017,2,2017,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,26,2,-42,5,6,1,1,-44,-44,99,0,1,1011,1011312210,6.240976
74610,312210,4,1,1,1,1,27,3,2,-1,2,2,6,2,1,1,-2,3,1,2,0,2,1,1,1,1,1,1,2,2,1,2,13,1301,99,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,2,7,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,1,2,1,96,2,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,1,12000,2,5,1,2,2,1,2,2,14,140060001,2,7,70060038,1,2,2,2,2,2,-20,-20,98,99998,999999998,98,2,2,2,2,-21,1,1,1,2,1,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,7,2,2300,1,2,1,1001,10010001,2,4,3,2,1,2,2,1,2,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,10,2,2,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,-32,2,-33,1,2022,1,2022,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,1,1,22,1,1,3,6,1,2,1,1,3,0,1,1011,1011312210,6.240976
74710,312210,4,1,1,1,1,29,6,1,1,2,2,6,2,1,1,-2,4,2,2,0,2,1,1,1,1,0,1,2,2,1,2,10,1004,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,6,1,2,2,2,2,2,2,2,8,7,500,4,3,111,1,2,2,96,1,5,2,1,1705099,2,-15,-15,1,0,-16,-16,-16,-16,3,2,-19,-19,-19,1,2,2,2,1,2,7,70090001,2,17,170060001,2,1,1,2,2,2,-20,-20,97,99997,999999997,97,2,2,2,2,-21,1,1,2,2,2,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,15,2,2000,1,2,97,99997,999999997,97,3,3,2,1,2,2,1,1,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,17,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,-32,2,-33,1,2022,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,2,0,1,1011,1011312210,6.240976
74810,312210,4,1,1,1,1,20,1,3,-1,2,2,6,2,1,1,-2,3,99,99,99,1,1,1,1,1,1,1,2,2,1,2,8,801,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,2,3,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,3,2,2,96,1,4,2,1,1705099,1,2,3,1,0,-16,-16,-16,-16,6,2,-19,-19,-19,2,2,2,2,2,2,7,70060038,1,14,999999999,99,1,1,2,2,2,-20,-20,14,99999,999999999,99,2,2,2,2,-21,1,1,1,2,2,2,2,2,1,1,2,2,-24,1,2,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,5,5,20000,4,1,27,27001,999999999,99,7,1,3,1,2,2,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,1,3,2,2,2,2,2,1,1,2,2,3,2,1,2,2,2,2,2,1,2,1,2,-32,2,-33,2,2022,2,2021,10,2022,0,-36,-36,1,2,-38,1,2,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,4,0,1,1011,1011312210,6.240976
74910,312210,4,1,1,1,1,44,3,1,1,2,2,6,2,5,1,-2,5,1,4,0,2,1,1,1,1,1,2,2,2,1,2,5,506,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,712,6,1,2,2,2,2,2,2,2,8,6,2500,4,3,236,1,2,1,96,1,5,2,1,1705099,2,-15,-15,2,0,-16,-16,-16,-16,0,2,-19,-19,-19,1,2,2,2,2,2,27,270060001,2,97,999999997,97,1,1,2,2,2,-20,-20,99,99999,999999999,99,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,1,1,2,-24,2,-25,1,2,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,12,2,5000,4,1,97,99997,999999997,97,3,1,1,1,2,2,1,1,1,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,5,2,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,1,2,-32,2,-33,2,2018,2,2018,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,1,3,36,1,2,3,6,1,2,1,1,1,0,1,1011,1011312210,6.240976
75110,312210,4,1,1,1,1,19,6,1,1,2,2,6,2,6,1,-2,5,2,2,1,2,1,1,0,1,0,1,2,2,2,2,3,310,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,611,6,1,2,2,2,2,2,2,2,7,7,6000,4,4,111,1,2,1,96,2,5,2,1,9999997,1,97,1,1,3,0,-17,-17,-17,0,2,-19,-19,-19,1,2,2,1,2,2,7,70090001,2,27,270020001,2,1,1,2,2,2,-20,-20,27,27002,270020001,2,1,1,2,2,4,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,2,8,2,8000,4,1,27,27002,270020001,2,3,4,4,-29,-29,-29,-29,-29,-29,-29,-29,-29,-29,2,1,2,2,2,2,1,2,4,2,1,2,1,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,1,2,-32,2,-33,1,2022,1,2022,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,1,3,6,1,1,888,8,1,2,1,2,2,0,1,1011,1011312210,6.240976
75410,312210,4,1,1,1,1,18,5,1,1,2,2,6,2,1,2,2,4,2,2,0,2,1,1,3,1,3,2,2,2,1,2,5,501,1,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,834,2,2,2,2,2,2,2,2,2,8,6,1800,4,3,485,1,2,3,1,2,5,2,1,1217001,2,-15,-15,2,5,2,3,-18,-18,3,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,97,999999997,97,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,1,1,2,2,2,2,2,2,1,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,1,1,2,2,5000,4,2,7,7089,70890001,2,4,1,3,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,9,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,-32,2,-33,0,-34,0,-35,-35,-35,0,-36,-36,-37,-37,-37,-37,-37,1,999999997,2,-41,36,2,-42,888,8,2,-43,1,2,1,0,1,1011,1011312210,6.240976
75510,312210,4,1,1,1,1,21,3,2,-1,2,2,6,2,6,2,2,7,3,4,0,4,2,5,0,1,0,1,2,2,2,2,8,801,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,777,7,1,-10,1,-12,713,2,2,2,2,2,2,2,2,2,8,6,400,4,2,236,2,2,2,1,2,5,2,1,1217001,2,-15,-15,1,3,0,-17,-17,-17,0,2,-19,-19,-19,1,2,2,2,2,2,7,70890001,2,20,200140001,2,2,2,2,2,2,-20,-20,7,7089,70890001,2,2,2,2,2,-21,2,-22,-22,-22,-22,-22,-22,-22,-22,2,-23,2,-24,2,-25,2,-26,2,2,-27,-27,-27,-27,-27,-27,-27,-27,2,1,6,2,2000,4,1,20,20014,200140001,2,4,1,3,2,2,2,2,2,2,2,-30,-30,-30,2,2,2,2,-31,-31,-31,-31,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-32,2,-33,0,-34,1,2022,10,2022,0,-36,-36,-37,-37,-37,-37,-37,1,50250001,2,-41,48,1,2,888,8,1,2,1,1,3,0,1,1011,1011312210,6.240976
